# The power spectrum definition is smaller than CAMB by a factor 8 pi^3.
#      k [h/Mpc]           P_cdm          P_vcdm           P_bar          P_vbar         P_total        P_vtotal
         51.8862     2.92231e-08     7.85407e-09     2.90209e-08     7.86213e-09     2.89255e-08     7.85535e-09
         54.7944     2.51885e-08     6.76996e-09     2.50232e-08      6.7779e-09     2.49334e-08     6.77122e-09
         57.8657     2.17071e-08     5.83449e-09     2.15733e-08     5.84227e-09     2.14887e-08     5.83572e-09
         61.1091     1.87036e-08     5.02741e-09     1.85966e-08     5.03503e-09     1.85166e-08     5.02861e-09
         64.5344     1.61127e-08     4.33122e-09     1.60286e-08     4.33866e-09     1.59529e-08     4.33239e-09
         68.1516     1.38782e-08     3.73077e-09     1.38134e-08     3.73802e-09     1.37418e-08     3.73192e-09
         71.9715     1.19514e-08     3.21299e-09     1.19029e-08     3.22004e-09     1.18351e-08     3.21411e-09
         76.0056     1.02901e-08     2.76657e-09     1.02555e-08     2.77341e-09     1.01911e-08     2.76765e-09
         80.2657     8.85808e-09     2.38173e-09     8.83503e-09     2.38836e-09     8.77388e-09     2.38278e-09
         84.7647      7.6238e-09     2.05004e-09     7.61048e-09     2.05645e-09     7.55236e-09     2.05105e-09
         89.5158     6.56017e-09     1.76419e-09     6.55495e-09      1.7704e-09     6.49967e-09     1.76517e-09
         94.5332     5.64373e-09      1.5179e-09     5.64523e-09     1.52389e-09     5.59262e-09     1.51884e-09
         99.8319     4.85425e-09     1.30572e-09     4.86128e-09      1.3115e-09     4.81119e-09     1.30663e-09
         105.428     4.17426e-09     1.12296e-09     4.18581e-09     1.12852e-09     4.13809e-09     1.12383e-09
         111.337     3.58866e-09     9.65559e-10     3.60387e-09      9.7092e-10     3.55839e-09     9.66405e-10
         117.577     3.08445e-09     8.30031e-10     3.10258e-09     8.35187e-10     3.05922e-09     8.30845e-10
         124.168     2.65039e-09     7.13352e-10      2.6708e-09     7.18307e-10     2.62947e-09     7.14134e-10
         131.127     2.27678e-09     6.12918e-10     2.29895e-09     6.17677e-10     2.25953e-09     6.13669e-10
